path,title,order,description,section
"/intro","Introduction","1A","Welcome to the fullstack curriculum","Welcome"
"/what-is-webapp","What is a web app","1B","Anatomy of a web app","Welcome"
"/algorithms","Algorithms","900A","Algorithms","Job readiness"
